i,box_h,pred,conf,illegible,face_px_det,face_px_geo,anchor,face,face_usable
384,109.0,20,0.8326,False,0.0,12.11111111111111,True,False,False
385,103.0,29,0.7504,False,0.0,11.444444444444445,True,False,False
386,113.0,20,0.7451,False,0.0,12.555555555555555,True,False,False
387,131.0,2,0.2168,False,0.0,14.555555555555555,False,False,False
388,100.0,-1,0.3576,True,0.0,11.11111111111111,False,False,False
389,102.0,-1,0.244,True,0.0,11.333333333333332,False,False,False
390,101.0,20,0.8815,False,0.0,11.222222222222221,True,False,False
391,104.0,23,0.3475,False,0.0,11.555555555555555,False,False,False
392,109.0,10,0.477,False,0.0,12.11111111111111,False,False,False
393,122.0,24,0.5646,False,0.0,13.555555555555555,False,False,False
394,117.0,29,0.4142,False,0.0,13.0,False,False,False
395,137.0,1,0.3087,False,0.0,15.222222222222221,False,False,False
396,115.0,34,0.1777,False,0.0,12.777777777777777,False,False,False
397,100.0,10,0.3604,False,0.0,11.11111111111111,False,False,False
398,111.0,29,0.4924,False,0.0,12.333333333333332,False,False,False
399,113.0,29,0.62,False,0.0,12.555555555555555,False,False,False
400,113.0,33,0.1456,False,0.0,12.555555555555555,False,False,False
401,105.0,11,0.8798,False,0.0,11.666666666666666,True,False,False
402,104.0,-1,0.3447,True,0.0,11.555555555555555,False,False,False
403,103.0,20,0.41,False,0.0,11.444444444444445,False,False,False
404,101.0,29,0.18,False,0.0,11.222222222222221,False,False,False
405,101.0,20,0.3426,False,0.0,11.222222222222221,False,False,False
406,100.0,29,0.5285,False,0.0,11.11111111111111,False,False,False
407,112.0,8,0.5878,False,0.0,12.444444444444443,False,False,False
408,127.0,24,0.7439,False,0.0,14.11111111111111,True,False,False
409,101.0,29,0.8337,False,0.0,11.222222222222221,True,False,False
410,102.0,20,0.1564,False,0.0,11.333333333333332,False,False,False
411,129.0,24,0.5349,False,0.0,14.333333333333332,False,False,False
412,102.0,29,0.8727,False,0.0,11.333333333333332,True,False,False
413,112.0,8,0.5804,False,0.0,12.444444444444443,False,False,False
414,101.0,31,0.1958,False,16.333333333333332,11.222222222222221,False,True,False
415,133.0,24,0.3501,False,0.0,14.777777777777777,False,False,False
416,103.0,20,0.3161,False,0.0,11.444444444444445,False,False,False
417,113.0,8,0.7422,False,0.0,12.555555555555555,True,False,False
418,103.0,29,0.7102,False,0.0,11.444444444444445,True,False,False
